,train_loss,val loss,train accuracy,val accuracy,train_f1,val f1
vggnet_baseline,0.06192053,0.0920399,97.48051558752996,96.625,0.9448124188549495,0.9077919857919856
vggnet_2block,0.08524836,0.1453434,96.78507194244604,94.5,0.9183489407568967,0.8392032412032413
vggnet_3block,0.09910543,0.10940017,96.20053956834532,96.125,0.9089795464748138,0.8909264069264067
vggnet_3blockbn,0.083339915,0.12393887,97.16726618705036,96.25,0.931548301935522,0.912354756354756
vggnet_3block_aug,0.054019835,0.24191435,98.19994004796163,94.375,0.9578921430972529,0.8307590187590186
vggnet_4block,0.51339054,0.40653908,75.44514388489209,80.0,0.06625258234970466,0.33057142857142857
resnet_2block,0.0031033189,0.07352165,100.0,97.5,0.9928057553956835,0.9266248196248195
resnet_3block,0.00514977,0.0617467,99.97751798561151,97.75,0.9992805755395684,0.9320072150072148
finetuned_resnet,0.14161755,0.11594103,94.3570143884892,95.5,0.8796693385140275,0.8847299367299363
resnet_3block_reg,0.06184436,0.12291369,97.66037170263789,95.625,0.9460870065186615,0.8872046842046841
run_conv_reg_1,0.012378949,0.10193619,99.66276978417267,96.5,0.9792566581394342,0.8823780663780663
run_conv_reg_rec,0.05729759,0.08851349,97.68435251798562,96.5,0.9383664966716174,0.8802753912753911
